,loc,numFclt,total_cnts,normalized_entropy,total_adult_patients_hospitalized_confirmed_covid_7_day_sum,total_beds_7_day_avg,inpatient_beds_used_7_day_sum,inpatient_beds_7_day_sum,total_icu_beds_7_day_sum,previous_day_total_ED_visits_7_day_sum
67,FL_JACKSONVILLE,6,203442.0,0.926824,"(0.2714052473706193, 0.18586019668147474, 0.2322967688043437, 0.06652238295933477, 0.17382389793826175, 0.07009150624596575)","(0.17159819822687697, 0.21162716666401388, 0.27365463892912284, 0.12786063316726887, 0.1226654145510688, 0.09259394846164865)","(0.2509799775221939, 0.13250549218171778, 0.3310659727525131, 0.09996749724901415, 0.13469061688654974, 0.05079044340801134)","(0.17350251322129945, 0.20178459727884765, 0.28830715445988614, 0.11830312440507243, 0.12015744410462319, 0.09794516653027115)","(0.31346370816096275, 0.13546446032342985, 0.30368559608875517, 0.10114704776231666, 0.10951485520872509, 0.03672433245581046)","(0.39156701844173586, 0.06844702690742575, 0.21354702786943597, 0.07644133180694379, 0.20331123916535992, 0.04668635580909869)"
68,FL_KISSIMMEE,2,37039.0,0.887449,"(0.6728070175438596, 0.32719298245614037)","(0.8283158940784474, 0.1716841059215526)","(0.8641940810364537, 0.1358059189635463)","(0.8469600888169655, 0.15303991118303445)","(0.8903772553307818, 0.10962274466921815)","(0.643341478313989, 0.356658521686011)"
69,FL_MELBOURNE,2,39442.0,0.751709,"(0.8649618663077613, 0.13503813369223866)","(0.8277424263383594, 0.1722575736616406)","(0.8646632946543688, 0.13533670534563125)","(0.8547278724573941, 0.14527212754260582)","(0.7615512465373961, 0.23844875346260389)","(0.7265553671579497, 0.27344463284205034)"
70,FL_MIAMI,8,356533.0,0.890416,"(0.16694432774630952, 0.3360761419113706, 0.13965145083950223, 0.07898129771545292, 0.07127439192223559, 0.11719712005099306, 0.025250257138304193, 0.0646250126758319)","(0.1453690498257932, 0.3585718825305193, 0.1774318021041004, 0.0931089010028713, 0.11034043148811573, 0.07262683427845094, 0.022067140549517483, 0.020483958220631687)","(0.15431787594458737, 0.39359035938309944, 0.14186049829510597, 0.08577019835740475, 0.09280853350580424, 0.08375143263409693, 0.021191095554910902, 0.02671000632499037)","(0.15589974921065566, 0.35440121276353914, 0.17256639127566015, 0.09677309837761879, 0.1099679538748356, 0.07171040104153598, 0.021530390679315857, 0.017150802776838815)","(0.10616100544266632, 0.34660152487495793, 0.166332060670063, 0.12511169651042695, 0.10674124705527381, 0.11720880574671293, 0.008761648350373095, 0.023082011349525942)","(0.0, 0.2980794760598283, 0.09104788034339321, 0.09551730241614302, 0.28537923710062835, 0.2194110098238782, 0.010565094256128862, 0.0)"
71,FL_NAPLES,2,67896.0,0.938972,"(0.6164107727158319, 0.3835892272841681)","(0.7369372151406497, 0.26306278485935025)","(0.7198912971432359, 0.2801087028567641)","(0.7511411254115534, 0.24885887458844658)","(0.6252254573563515, 0.37477454264364857)","(0.6484437885698954, 0.3515562114301046)"
72,FL_OCALA,2,63913.0,0.974996,"(0.39538690476190474, 0.6046130952380953)","(0.48141007233594507, 0.5185899276640549)","(0.38640910132091316, 0.6135908986790868)","(0.4625865027328614, 0.5374134972671386)","(0.23197589860793683, 0.7680241013920631)","(0.2532423783055415, 0.7467576216944585)"
73,FL_ORLANDO,2,281670.0,0.905431,"(0.38150851581508516, 0.6184914841849148)","(0.25046378005550324, 0.7495362199444966)","(0.20166197098669225, 0.7983380290133077)","(0.23622218277621032, 0.7637778172237897)","(0.3675664576455908, 0.6324335423544092)","(0.25848843502200053, 0.7415115649779995)"
74,FL_PANAMA CITY,2,28912.0,0.982139,"(0.3904851625058879, 0.6095148374941121)","(0.6149672006782989, 0.38503279932170115)","(0.3291787660282554, 0.6708212339717446)","(0.5651049763537286, 0.4348950236462714)","(0.3846416771106301, 0.61535832288937)","(0.015509910773100186, 0.9844900892268998)"
75,FL_PEMBROKE PINES,2,89342.0,0.90977,"(0.3415343021290977, 0.6584656978709024)","(0.3611378977820636, 0.6388621022179364)","(0.2786275580955583, 0.7213724419044417)","(0.39564152483828424, 0.6043584751617157)","(0.2863858253480383, 0.7136141746519616)","(0.3071698113207547, 0.6928301886792453)"
76,FL_PENSACOLA,3,71497.0,0.969629,"(0.461657137671295, 0.2822397676740176, 0.25610309465468734)","(0.41867637518655454, 0.31320257081984765, 0.26812105399359776)","(0.4148674715311028, 0.3042328819434245, 0.28089964652547267)","(0.42066185116747856, 0.30975418556470125, 0.26958396326782014)","(0.41864939395882766, 0.3207849676136728, 0.2605656384274995)","(0.2863513613953373, 0.19825087332457944, 0.5153977652800833)"
77,FL_PORT CHARLOTTE,2,29324.0,0.971376,"(0.43977433004231314, 0.5602256699576869)","(0.5340997101192715, 0.4659002898807284)","(0.5174181300427148, 0.48258186995728525)","(0.5207569883335988, 0.4792430116664011)","(0.5265567765567766, 0.4734432234432234)","(0.5542466550319953, 0.44575334496800467)"
78,FL_SAINT PETERSBURG,5,68094.0,0.90586,"(0.2053075129998207, 0.40989779451317915, 0.12139142908373678, 0.11063295678680295, 0.15277030661646046)","(0.3672504437431281, 0.2392197626114987, 0.1177786200245419, 0.11604117335815044, 0.15971000026268092)","(0.28099939061547835, 0.3770140158439976, 0.09211456429006704, 0.08993296770262035, 0.1599390615478367)","(0.3657419312398711, 0.23898002021301407, 0.12077574916725971, 0.11415568804980296, 0.1603466113300522)","(0.2547270781305744, 0.20989416101795694, 0.11559043881555477, 0.13289332857652514, 0.28689499345938874)","(0.195825810202895, 0.14291397619120483, 0.11647336046760719, 0.2533892340178107, 0.2913976191204823)"
79,FL_SARASOTA,2,65195.0,0.58159,"(0.8662242403073699, 0.13377575969263011)","(0.8421314382954246, 0.1578685617045754)","(0.8699564178265148, 0.13004358217348516)","(0.8362007664046143, 0.16379923359538576)","(0.7884821747943246, 0.21151782520567544)","(0.6369143780290791, 0.3630856219709208)"
80,FL_SEBRING,2,29347.0,0.840941,"(0.2130955860859398, 0.7869044139140602)","(0.29071730663145046, 0.7092826933685494)","(0.19163853544533888, 0.8083614645546612)","(0.27885906040268454, 0.7211409395973154)","(0.536172878170999, 0.46382712182900093)","(0.4372610358011818, 0.5627389641988182)"
81,FL_TALLAHASSEE,2,40673.0,0.99888,"(0.43407505812022584, 0.5659249418797742)","(0.7192724434973137, 0.2807275565026863)","(0.6581200755355864, 0.3418799244644136)","(0.7315517369634754, 0.2684482630365246)","(0.7102683178534571, 0.2897316821465428)","(0.25849583760976164, 0.7415041623902383)"
82,FL_TAMPA,5,174960.0,0.810863,"(0.05108623470258989, 0.5187363627739303, 0.22417227966986056, 0.17692818518167155, 0.029076937671947634)","(0.02795040908626239, 0.44594632703635423, 0.2958164276070657, 0.18312823206347975, 0.04715860420683796)","(0.03896157289820381, 0.3738602517952747, 0.35358689495130374, 0.19307197544173807, 0.04051930491347964)","(0.028613686457991633, 0.4778923015831909, 0.2748082157881712, 0.17037861915367483, 0.04830717701697139)","(0.018514844938173642, 0.3054949414798651, 0.5570543763362649, 0.08931208534461857, 0.029623751901077827)","(0.07217790062189836, 0.26915949494314967, 0.38347257993592565, 0.20139455995979647, 0.07379546453922985)"
83,FL_WEST PALM BEACH,2,28849.0,0.999988,"(0.482274102896671, 0.5177258971033291)","(0.390321665089877, 0.609678334910123)","(0.37083837945296255, 0.6291616205470375)","(0.4008826317343403, 0.5991173682656598)","(0.45164398410213175, 0.5483560158978682)","(0.43147766323024056, 0.5685223367697595)"
84,GA_ATHENS,2,43945.0,0.900014,"(0.4958382877526754, 0.5041617122473246)","(0.4748047174146117, 0.5251952825853883)","(0.517246089747968, 0.48275391025203196)","(0.5218516984258492, 0.4781483015741508)","(0.4765840220385675, 0.5234159779614325)","(0.4639933780925228, 0.5360066219074773)"
85,GA_ATLANTA,6,230717.0,0.979663,"(0.10530632330025425, 0.08250635610596244, 0.4418108750922661, 0.10366603789059296, 0.15008611498400723, 0.11662429262691708)","(0.2907207489157985, 0.20190049077096092, 0.0215980492972036, 0.15731840270732234, 0.19474699673621834, 0.13371531157249616)","(0.34447940185808934, 0.2191138912536551, 0.011659325609801235, 0.1475441388755228, 0.1739719435910723, 0.1032312988118592)","(0.32376580604426547, 0.19955859683850674, 0.010028270279801823, 0.1502875377553284, 0.18967253118547464, 0.1266872578966229)","(0.23022362074746588, 0.15810786412524824, 0.20298676846096309, 0.1102370328338191, 0.20582394057414047, 0.09262077325836321)","(0.09705446894724538, 0.1553546845372607, 0.4425050001298735, 0.08665160134029455, 0.104963765292605, 0.11347047975272084)"
86,GA_AUGUSTA,3,100745.0,0.936231,"(0.5212244590213375, 0.32421020885169266, 0.15456533212696977)","(0.42577188720490244, 0.34900292410705236, 0.22522518868804522)","(0.433770450175935, 0.3258424928356368, 0.2403870569884282)","(0.44001145899566096, 0.3027061396460288, 0.2572824013583102)","(0.3267632850241546, 0.4241545893719807, 0.24908212560386472)","(0.44461486742026307, 0.09133504223221414, 0.4640500903475228)"
87,GA_COLUMBUS,3,54399.0,0.840883,"(0.3203750285844958, 0.5892979647839012, 0.09032700663160302)","(0.4202438870284955, 0.5242433815631515, 0.05551273140835281)","(0.3864686692945494, 0.5486611390512437, 0.06487019165420688)","(0.41599117463667323, 0.5268118374982014, 0.05719698786512543)","(0.42003014570423713, 0.5799698542957629, 0.0)","(0.4007142185884785, 0.5992857814115214, 0.0)"
88,GA_MACON,2,47537.0,0.97147,"(0.25028312570781425, 0.7497168742921857)","(0.40679550393755987, 0.5932044960624401)","(0.3959147771696638, 0.6040852228303362)","(0.3677970567202379, 0.6322029432797621)","(0.39753345578588295, 0.602466544214117)","(0.15714592340477723, 0.8428540765952227)"
89,GA_ROME,2,46074.0,0.990642,"(0.5449189985272459, 0.45508100147275404)","(0.5855923978060176, 0.4144076021939823)","(0.5825954135446983, 0.41740458645530165)","(0.5646407667415253, 0.43535923325847464)","(0.5795443892378364, 0.4204556107621637)","(0.5907921726956012, 0.4092078273043988)"
90,GA_SAVANNAH,3,58934.0,0.946684,"(0.20469454694546946, 0.4487494874948749, 0.3465559655596556)","(0.151518216064521, 0.6888162718377873, 0.1596655120976917)","(0.13514851485148516, 0.7124969814054576, 0.15235450374305723)","(0.11628319137623669, 0.7527340207045381, 0.13098278791922519)","(0.0836631969896887, 0.7553144700190588, 0.16102233299125251)","(0.268172822112643, 0.5298379792693972, 0.2019891986179598)"
91,HI_HONOLULU,3,63129.0,0.853637,"(0.6166632673873139, 0.19396287986946767, 0.18937385274321844)","(0.8326544371716718, 0.02830294687754586, 0.13904261595078238)","(0.8222121393966892, 0.00702545262942201, 0.17076240797388872)","(0.842272937905468, 0.01077386468952734, 0.14695319740500462)","(0.8491449144914491, 0.00837083708370837, 0.14248424842484247)","(0.8207175925925926, 0.005150462962962963, 0.17413194444444444)"
92,IA_CEDAR RAPIDS,2,27989.0,0.976096,"(0.48535564853556484, 0.5146443514644351)","(0.472751165641071, 0.527248834358929)","(0.43206653128324146, 0.5679334687167585)","(0.44108410897671657, 0.5589158910232834)","(0.5963824289405685, 0.4036175710594315)","(0.4811483601344599, 0.5188516398655401)"
93,IA_DES MOINES,2,59609.0,0.999292,"(0.46256895193065406, 0.5374310480693459)","(0.5600346507192304, 0.4399653492807696)","(0.48436715848639966, 0.5156328415136003)","(0.46680149346608585, 0.5331985065339141)","(0.47431583669807087, 0.5256841633019291)","(0.5194715282986211, 0.48052847170137886)"
94,IA_DUBUQUE,2,15382.0,0.987573,"(0.5994029850746269, 0.40059701492537314)","(0.628261304339921, 0.3717386956600789)","(0.6234704830053667, 0.3765295169946333)","(0.624355502800549, 0.37564449719945103)","(0.7489147818140278, 0.2510852181859721)","(0.5082838386995936, 0.49171616130040635)"
95,IA_SIOUX CITY,2,21873.0,0.999876,"(0.38108213312572986, 0.6189178668742702)","(0.47833493179117936, 0.5216650682088206)","(0.44085552160628544, 0.5591444783937145)","(0.4525316455696203, 0.5474683544303798)","(0.43049568965517243, 0.5695043103448276)","(0.5494096276112624, 0.4505903723887375)"
96,IA_WATERLOO,2,18057.0,0.968442,"(0.40836770771950504, 0.591632292280495)","(0.5507163687080006, 0.4492836312919995)","(0.42449797325630156, 0.5755020267436984)","(0.5216486802756468, 0.47835131972435313)","(0.6178690538880113, 0.3821309461119888)","(0.42983391741581595, 0.5701660825841841)"
97,ID_BOISE,2,65738.0,0.999581,"(0.4809334092202618, 0.5190665907797382)","(0.7743550663582649, 0.22564493364173516)","(0.5614875620337714, 0.4385124379662287)","(0.7514998914695029, 0.24850010853049706)","(0.7417024778275578, 0.2582975221724422)","(0.5834343673300411, 0.4165656326699589)"
98,ID_NAMPA,2,18508.0,0.99256,"(0.37024018746338605, 0.629759812536614)","(0.29801135008822544, 0.7019886499117745)","(0.5826593090936578, 0.4173406909063421)","(0.3405580170039516, 0.6594419829960484)","(0.4545081967213115, 0.5454918032786885)","(0.576691301876066, 0.42330869812393407)"
99,IL_ALTON,2,14356.0,0.819023,"(0.8211189913317573, 0.17888100866824272)","(0.6794998898435779, 0.3205001101564221)","(0.7610760982033675, 0.23892390179663248)","(0.6876694991864039, 0.3123305008135961)","(0.49888641425389757, 0.5011135857461024)","(0.24437781109445278, 0.7556221889055472)"
100,IL_AURORA,2,25774.0,0.913196,"(0.7049375371802499, 0.2950624628197501)","(0.6450321658327377, 0.35496783416726235)","(0.6984537815126051, 0.30154621848739493)","(0.5955484447790692, 0.4044515552209308)","(0.7315436241610739, 0.2684563758389262)","(0.7336687462266049, 0.26633125377339506)"
101,IL_CHICAGO,13,299433.0,0.932796,"(0.03819444444444445, 0.11681547619047619, 0.12462797619047619, 0.015376984126984126, 0.0169890873015873, 0.06764632936507936, 0.15687003968253968, 0.049417162698412696, 0.08283730158730158, 0.024429563492063492, 0.06541418650793651, 0.028335813492063492, 0.2130456349206349)","(0.061980560642343994, 0.04452545526081867, 0.17840905227059667, 0.03812581665217539, 0.021056875421987555, 0.0331518280865202, 0.15932307124364287, 0.05129425708331917, 0.09559384274618572, 0.0, 0.03742634951013013, 0.012343894963350838, 0.26676899611892885)","(0.04056525041493581, 0.03926183621991129, 0.22874450268653357, 0.023252034045053747, 0.023267662512619986, 0.04430983124380722, 0.18323753082715227, 0.024208496260107713, 0.09894382816187342, 0.0, 0.0345983014981449, 0.007804856702580885, 0.25180586942727917)","(0.03356284764066569, 0.05039439186133801, 0.1890875636807531, 0.021471579505434164, 0.024792891367930517, 0.04037922208683527, 0.19260490199791053, 0.02160523390633945, 0.10128776015272242, 0.0, 0.04478313459666443, 0.009193195208935242, 0.27083727799447116)","(0.021401717655985926, 0.05249542993136274, 0.2163194564205153, 0.00938157486289794, 0.006518814886351878, 0.03287862587521126, 0.22791708343393233, 0.013373917842237782, 0.09880833304590764, 0.002586831304107888, 0.06549856862001173, 0.013313558445141932, 0.23950608767633566)","(0.04663022220442273, 0.13370311780372054, 0.17558087533457484, 0.06705514060487128, 0.015692478156684488, 0.05826441592075666, 0.1335162231255465, 0.057116348611973275, 0.07555217365185526, 0.009104440751049613, 0.06529299078208747, 0.03348752144282691, 0.1290040516096304)"
102,IL_DECATUR,2,18429.0,0.942076,"(0.7947019867549668, 0.2052980132450331)","(0.6094464195022854, 0.3905535804977146)","(0.6201087741252347, 0.37989122587476537)","(0.7280563613758807, 0.27194363862411935)","(0.7972027972027972, 0.20279720279720279)","(0.5678260253594957, 0.43217397464050433)"
103,IL_ELGIN,2,24177.0,0.832494,"(0.7809616318601262, 0.21903836813987373)","(0.461058634824452, 0.538941365175548)","(0.5350579358663433, 0.4649420641336567)","(0.5111651558699978, 0.4888348441300022)","(0.6972630173564753, 0.3027369826435247)","(0.7493394398449885, 0.2506605601550114)"
104,IL_EVANSTON,2,42414.0,0.723679,"(0.8013422818791947, 0.19865771812080538)","(0.8359957056770303, 0.16400429432296978)","(0.8831596607612862, 0.11684033923871384)","(0.8453307897274264, 0.15466921027257363)","(0.7918852303608671, 0.20811476963913292)","(0.8229597946963216, 0.17704020530367837)"
105,IL_KANKAKEE,2,17440.0,0.935037,"(0.2835093419983753, 0.7164906580016247)","(0.2686902090468879, 0.7313097909531121)","(0.21612487930479563, 0.7838751206952044)","(0.23406900839291264, 0.7659309916070873)","(0.34761367906801954, 0.6523863209319805)","(0.3295072610818695, 0.6704927389181305)"
106,IL_OAK PARK,2,13926.0,0.999979,"(0.2981132075471698, 0.7018867924528301)","(0.46628844588028256, 0.5337115541197174)","(0.5708625842774727, 0.4291374157225273)","(0.4444343314826613, 0.5555656685173387)","(0.32978723404255317, 0.6702127659574468)","(0.42454698484998515, 0.5754530151500149)"
107,IL_PEORIA,2,52400.0,0.917062,"(0.6988475755599043, 0.30115242444009566)","(0.6448598130841121, 0.35514018691588783)","(0.6912666281087334, 0.30873337189126665)","(0.6432648401826484, 0.3567351598173516)","(0.7117024906175367, 0.28829750938246335)","(0.6503453802999657, 0.34965461970003436)"
108,IL_ROCKFORD,3,52708.0,0.903351,"(0.45387840670859536, 0.29821802935010483, 0.24790356394129978)","(0.36041918197030354, 0.2263773273177861, 0.41320349071191037)","(0.41188586445071823, 0.26491947655320586, 0.3231946589960759)","(0.34506366063026905, 0.26818120715149885, 0.3867551322182321)","(0.25031218072425926, 0.31706209558406173, 0.43262572369167895)","(0.49614921150521296, 0.22921360088018022, 0.2746371876146068)"
109,IL_SPRINGFIELD,2,39959.0,0.973809,"(0.5106692531522793, 0.48933074684772065)","(0.5654188030803952, 0.43458119691960484)","(0.4577125524132394, 0.5422874475867606)","(0.40325823524936694, 0.596741764750633)","(0.4985078972268724, 0.5014921027731276)","(0.3680658248966746, 0.6319341751033254)"
110,IN_ANDERSON,2,17873.0,0.999447,"(0.5785288270377733, 0.42147117296222664)","(0.521497919556172, 0.478502080443828)","(0.5920424094139578, 0.4079575905860422)","(0.5023676280671545, 0.4976323719328455)","(0.5107223476297968, 0.48927765237020315)","(0.4282767939691345, 0.5717232060308655)"
111,IN_EVANSVILLE,2,55604.0,0.736753,"(0.7748431825685045, 0.22515681743149554)","(0.5910425296785697, 0.40895747032143026)","(0.6843701079344154, 0.31562989206558456)","(0.6024620220010477, 0.39753797799895235)","(0.6560649869200055, 0.34393501307999447)","(0.7455285638013881, 0.25447143619861184)"
112,IN_FORT WAYNE,2,79056.0,0.893696,"(0.3933543716354186, 0.6066456283645814)","(0.3694622271352389, 0.6305377728647612)","(0.3193136865899554, 0.6806863134100446)","(0.31535866158238335, 0.6846413384176167)","(0.33452118698976285, 0.6654788130102371)","(0.27963969812545647, 0.7203603018745436)"
113,IN_INDIANAPOLIS,7,163625.0,0.906246,"(0.1418948283355063, 0.2591264667535854, 0.07409821816601478, 0.15417209908735333, 0.04737070838765754, 0.19046066927422858, 0.13287700999565405)","(0.11189256001214339, 0.3969294599810621, 0.07955358627219962, 0.17282485344821355, 0.04840003758664806, 0.11061461397789617, 0.07978488872183712)","(0.12232062376969996, 0.3148638434270147, 0.06367446917732085, 0.21185210934563195, 0.04906244568490576, 0.13615657298533948, 0.10206993561008734)","(0.10031345487276258, 0.3886156137899089, 0.06386215354814598, 0.18278551106829946, 0.04742353780276293, 0.12532141625806995, 0.09167831266005017)","(0.16905365208769418, 0.34189434835298005, 0.07966563842679299, 0.1177839594579707, 0.016442657265616393, 0.17160129998898316, 0.10355844441996254)","(0.22862029646522236, 0.0878976133370031, 0.20173593362953643, 0.10369401958085951, 0.10996539928439429, 0.12006055125231, 0.1480261864506743)"
114,IN_KOKOMO,2,13734.0,0.997961,"(0.4829683698296837, 0.5170316301703163)","(0.5810479314241614, 0.4189520685758386)","(0.49944496627102725, 0.5005550337289728)","(0.6532924238848241, 0.34670757611517583)","(0.42769857433808556, 0.5723014256619144)","(0.5533682936668012, 0.4466317063331989)"
115,IN_LAFAYETTE,2,31888.0,0.988228,"(0.557997557997558, 0.442002442002442)","(0.4973288003885381, 0.5026711996114619)","(0.4989833462432223, 0.5010166537567777)","(0.45391965195363054, 0.5460803480463695)","(0.7912844036697247, 0.20871559633027523)","(0.8353259089420242, 0.16467409105797576)"
116,IN_MUNSTER,2,23024.0,0.725837,"(0.8443835616438357, 0.15561643835616437)","(0.8818705701463805, 0.11812942985361952)","(0.8761655639329128, 0.12383443606708724)","(0.8798867317212297, 0.12011326827877035)","(0.9005204636858292, 0.09947953631417081)","(1.0, 0.0)"
117,IN_TERRE HAUTE,2,25298.0,0.669974,"(0.838, 0.162)","(0.5652541721141275, 0.43474582788587246)","(0.7440255426194086, 0.2559744573805915)","(0.4964466813700541, 0.5035533186299459)","(0.6090108751941999, 0.3909891248058001)","(0.6297500280237641, 0.3702499719762358)"
118,KS_KANSAS CITY,2,63187.0,0.603376,"(0.7649391856160761, 0.23506081438392384)","(0.8716608496743047, 0.12833915032569537)","(0.904995904995905, 0.095004095004095)","(0.9040266735060272, 0.09597332649397282)","(0.9280864197530864, 0.07191358024691358)","(0.7348688198112391, 0.2651311801887609)"
119,KS_OVERLAND PARK,3,22162.0,0.960807,"(0.18729641693811075, 0.24592833876221498, 0.5667752442996743)","(0.5643960440048894, 0.27758639848872096, 0.1580175575063896)","(0.49783412906693647, 0.36740759477661494, 0.13475827615644861)","(0.5938710630092247, 0.2935566249153102, 0.11257231207546514)","(0.7647058823529411, 0.1952698605215282, 0.04002425712553062)","(0.4672154576116161, 0.19504944835076887, 0.33773509403761504)"
120,KS_TOPEKA,2,32118.0,0.848093,"(0.17405355493998154, 0.8259464450600185)","(0.3435326842837274, 0.6564673157162726)","(0.28247086247086245, 0.7175291375291375)","(0.3237529077280951, 0.6762470922719049)","(0.4626824566235197, 0.5373175433764803)","(0.4033757688456587, 0.5966242311543413)"
121,KS_WICHITA,2,66504.0,0.998898,"(0.5213286713286713, 0.47867132867132867)","(0.5696992770099019, 0.4303007229900981)","(0.5164756609554068, 0.4835243390445932)","(0.4240344907100083, 0.5759655092899917)","(0.35262916639381836, 0.6473708336061816)","(0.0, 1.0)"
122,KY_BOWLING GREEN,2,27738.0,0.809282,"(0.8186086214255228, 0.18139137857447715)","(0.5948768594531202, 0.4051231405468798)","(0.7683914545065558, 0.23160854549344417)","(0.6259509557829697, 0.37404904421703034)","(0.7950633322507308, 0.20493666774926925)","(0.5511409127301842, 0.4488590872698158)"
123,KY_LEXINGTON,4,90969.0,0.92518,"(0.19893697798025817, 0.4838268792710706, 0.22186788154897494, 0.09536826119969628)","(0.22477084702085182, 0.4520867751462306, 0.19378336830959414, 0.12935900952332355)","(0.15741594915949159, 0.5599502870028701, 0.2312871566215662, 0.05134660721607216)","(0.18852122954807604, 0.5308289008303768, 0.2041885102963445, 0.07646135932520268)","(0.14013258541560428, 0.6243498215196328, 0.1991840897501275, 0.03633350331463539)","(0.11219452739350357, 0.5350519024112783, 0.22863469234363257, 0.12411887785158551)"
124,KY_LOUISVILLE,4,147660.0,0.915113,"(0.11969540144906107, 0.45460594410764454, 0.24168268519887623, 0.18401596924441815)","(0.1346915756941532, 0.4936152972266447, 0.14793128300765104, 0.22376184407155103)","(0.08027257574271987, 0.5146926169232278, 0.1795764290616727, 0.22545837827237963)","(0.10389485998891679, 0.5476851820178289, 0.14156752208090745, 0.20685243591234684)","(0.11921703334151196, 0.4525503666748453, 0.09634415637523513, 0.33188844360840764)","(0.12112618122381824, 0.5756145611205525, 0.1524847645129515, 0.15077449314267777)"
125,KY_PADUCAH,2,27036.0,0.995175,"(0.4200884396715098, 0.5799115603284902)","(0.6294018145471321, 0.37059818545286793)","(0.5285524568393094, 0.4714475431606906)","(0.58613554061045, 0.4138644593895499)","(0.4846098783106657, 0.5153901216893343)","(0.505515526366129, 0.49448447363387105)"
126,LA_BATON ROUGE,2,85127.0,0.973463,"(0.439150401836969, 0.560849598163031)","(0.5284202273618189, 0.4715797726381811)","(0.49472830494728304, 0.505271695052717)","(0.4186335403726708, 0.5813664596273292)","(0.7422372227579557, 0.2577627772420444)","(0.4375, 0.5625)"
127,LA_LAFAYETTE,2,51762.0,0.999527,"(0.8098519652884124, 0.19014803471158753)","(0.32335329341317365, 0.6766467065868264)","(0.2714041095890411, 0.728595890410959)","(0.24397590361445784, 0.7560240963855421)","(0.8893295803480041, 0.11067041965199591)","(0.40668523676880225, 0.5933147632311978)"
128,LA_NEW ORLEANS,2,75556.0,0.753449,"(0.21751152073732719, 0.7824884792626728)","(0.3274956217162872, 0.6725043782837128)","(0.27631578947368424, 0.7236842105263158)","(0.3274956217162872, 0.6725043782837128)","(0.2976857490864799, 0.7023142509135201)","(0.3727598566308244, 0.6272401433691757)"
129,LA_SHREVEPORT,3,90676.0,0.919878,"(0.5078518518518519, 0.10074074074074074, 0.3914074074074074)","(0.1671018276762402, 0.2758920800696258, 0.557006092254134)","(0.16724336793540945, 0.2848904267589389, 0.5478662053056517)","(0.1671018276762402, 0.2758920800696258, 0.557006092254134)","(0.3921583160391343, 0.09235102282834272, 0.515490661132523)","(0.2541436464088398, 0.7458563535911602, 0.0)"
130,MA_BOSTON,6,120763.0,0.952349,"(0.15080033698399326, 0.2805391743892165, 0.2443133951137321, 0.16899747262005055, 0.04363942712721146, 0.11171019376579612)","(0.14723653886444585, 0.30280885536699487, 0.2025993435295761, 0.2049626370556603, 0.09304560374327817, 0.04934702144004469)","(0.13512238602982843, 0.2905714819568287, 0.211751876912521, 0.23035406335096656, 0.0854849035277685, 0.046715288222086766)","(0.1473373643184964, 0.31227006993516426, 0.17577811976396882, 0.22107889560719748, 0.0973537553726233, 0.04618179500254972)","(0.14213569494254555, 0.24545609797750617, 0.19629656737173387, 0.26836468320768986, 0.1301568713557296, 0.017590085144794945)","(0.3087058728573302, 0.267956051938618, 0.12589162303136697, 0.14137837101607192, 0.07986520980255657, 0.07620287135405632)"
131,MA_BROCKTON,2,22835.0,0.97917,"(0.5048543689320388, 0.49514563106796117)","(0.4866509375388054, 0.5133490624611946)","(0.45434439178515007, 0.5456556082148499)","(0.4749015956321158, 0.5250984043678842)","(0.5019912385503783, 0.49800876144962164)","(0.49542625621319075, 0.5045737437868092)"
132,MA_CAMBRIDGE,2,18502.0,0.9971,"(0.17813765182186234, 0.8218623481781376)","(0.430114407105014, 0.5698855928949861)","(0.4285577414409811, 0.5714422585590189)","(0.4298237323377912, 0.5701762676622087)","(0.5279164775306401, 0.47208352246936)","(0.23189811495803989, 0.7681018850419601)"
133,MA_FALL RIVER,2,40223.0,0.80828,"(0.09649952696310313, 0.9035004730368968)","(0.16112482013685872, 0.8388751798631412)","(0.18397728638384808, 0.8160227136161519)","(0.1727177334732424, 0.8272822665267576)","(0.1297071129707113, 0.8702928870292888)","(0.03519272743637632, 0.9648072725636236)"
134,MA_SPRINGFIELD,2,58550.0,0.679741,"(0.13305613305613306, 0.8669438669438669)","(0.31383169764042596, 0.686168302359574)","(0.146542904908052, 0.853457095091948)","(0.33646407340047235, 0.6635359265995276)","(0.12440135949327978, 0.8755986405067202)","(0.4375305466237942, 0.5624694533762058)"
135,MA_WORCESTER,2,37033.0,0.867378,"(0.74, 0.26)","(0.7686729864693058, 0.23132701353069424)","(0.7740194010965837, 0.2259805989034163)","(0.7713220908988019, 0.2286779091011981)","(0.9117856295944985, 0.08821437040550154)","(0.0, 1.0)"
