,state,date,23005,23019,23031,total_cnts
362,ME,2021-03-08,1.0,0.0,0.0,3.0
363,ME,2021-03-09,1.0,0.0,0.0,2.0
616,ME,2021-03-10,0.0,0.0,1.0,2.0
364,ME,2021-03-11,4.0,1.0,1.0,7.0
365,ME,2021-03-12,1.0,1.0,1.0,3.0
366,ME,2021-03-13,1.0,1.0,1.0,6.0
36,ME,2021-03-14,1.0,1.0,0.0,4.0
367,ME,2021-03-15,1.0,0.0,4.0,9.0
37,ME,2021-03-16,1.0,1.0,0.0,4.0
368,ME,2021-03-17,1.0,0.0,4.0,9.0
38,ME,2021-03-18,0.0,0.0,1.0,4.0
369,ME,2021-03-19,1.0,1.0,1.0,3.0
370,ME,2021-03-20,4.0,0.0,0.0,5.0
622,ME,2021-03-21,0.0,1.0,1.0,3.0
667,ME,2021-03-22,0.0,0.0,1.0,1.0
585,ME,2021-03-23,0.0,0.0,1.0,5.0
39,ME,2021-03-24,1.0,1.0,1.0,6.0
40,ME,2021-03-25,1.0,0.0,5.0,9.0
194,ME,2021-03-26,1.0,0.0,1.0,3.0
569,ME,2021-03-27,0.0,0.0,1.0,3.0
641,ME,2021-03-28,0.0,0.0,1.0,2.0
371,ME,2021-03-29,4.0,1.0,0.0,5.0
668,ME,2021-03-30,0.0,0.0,1.0,1.0
372,ME,2021-03-31,1.0,0.0,1.0,4.0
41,ME,2021-04-01,1.0,1.0,4.0,10.0
570,ME,2021-04-02,0.0,0.0,0.0,3.0
42,ME,2021-04-03,1.0,0.0,1.0,4.0
43,ME,2021-04-04,0.0,0.0,1.0,4.0
586,ME,2021-04-05,0.0,0.0,1.0,3.0
373,ME,2021-04-06,1.0,1.0,7.0,10.0
44,ME,2021-04-07,1.0,0.0,0.0,2.0
374,ME,2021-04-08,1.0,0.0,0.0,3.0
375,ME,2021-04-09,1.0,0.0,1.0,6.0
45,ME,2021-04-10,0.0,0.0,1.0,3.0
46,ME,2021-04-11,1.0,0.0,4.0,8.0
47,ME,2021-04-12,1.0,0.0,1.0,6.0
48,ME,2021-04-13,0.0,0.0,1.0,5.0
376,ME,2021-04-14,5.0,1.0,1.0,10.0
49,ME,2021-04-15,0.0,0.0,1.0,4.0
669,ME,2021-04-16,0.0,0.0,1.0,1.0
552,ME,2021-04-17,0.0,0.0,0.0,2.0
50,ME,2021-04-18,0.0,0.0,1.0,4.0
623,ME,2021-04-19,0.0,0.0,5.0,6.0
195,ME,2021-04-20,1.0,1.0,1.0,7.0
51,ME,2021-04-21,1.0,0.0,1.0,6.0
52,ME,2021-04-22,1.0,1.0,1.0,8.0
377,ME,2021-04-23,1.0,0.0,1.0,5.0
53,ME,2021-04-24,1.0,1.0,0.0,5.0
587,ME,2021-04-25,0.0,0.0,1.0,5.0
54,ME,2021-04-26,1.0,1.0,1.0,6.0
378,ME,2021-04-27,1.0,0.0,1.0,3.0
196,ME,2021-04-28,1.0,0.0,1.0,5.0
379,ME,2021-04-29,1.0,0.0,1.0,4.0
380,ME,2021-04-30,1.0,0.0,1.0,4.0
617,ME,2021-05-01,0.0,0.0,1.0,4.0
55,ME,2021-05-02,1.0,1.0,1.0,7.0
670,ME,2021-05-03,0.0,0.0,1.0,1.0
56,ME,2021-05-04,1.0,0.0,0.0,4.0
381,ME,2021-05-05,1.0,1.0,1.0,5.0
197,ME,2021-05-06,1.0,0.0,4.0,8.0
588,ME,2021-05-07,0.0,0.0,1.0,4.0
589,ME,2021-05-08,0.0,0.0,4.0,6.0
382,ME,2021-05-09,1.0,0.0,1.0,5.0
383,ME,2021-05-10,1.0,0.0,0.0,3.0
384,ME,2021-05-11,1.0,1.0,1.0,5.0
57,ME,2021-05-12,1.0,0.0,1.0,6.0
58,ME,2021-05-13,0.0,1.0,1.0,8.0
385,ME,2021-05-14,1.0,1.0,1.0,7.0
59,ME,2021-05-15,1.0,0.0,0.0,6.0
571,ME,2021-05-16,0.0,0.0,0.0,2.0
386,ME,2021-05-17,1.0,1.0,4.0,8.0
590,ME,2021-05-18,0.0,1.0,0.0,5.0
60,ME,2021-05-19,0.0,1.0,1.0,5.0
61,ME,2021-05-20,4.0,0.0,1.0,8.0
387,ME,2021-05-21,1.0,0.0,0.0,5.0
198,ME,2021-05-22,1.0,1.0,1.0,5.0
602,ME,2021-05-23,0.0,0.0,0.0,1.0
199,ME,2021-05-24,1.0,0.0,1.0,5.0
200,ME,2021-05-25,0.0,0.0,0.0,6.0
388,ME,2021-05-26,1.0,1.0,1.0,5.0
62,ME,2021-05-27,0.0,1.0,0.0,5.0
201,ME,2021-05-28,1.0,1.0,0.0,3.0
627,ME,2021-05-29,0.0,1.0,0.0,2.0
603,ME,2021-05-30,0.0,0.0,0.0,1.0
389,ME,2021-05-31,1.0,0.0,1.0,3.0
642,ME,2021-06-01,0.0,0.0,1.0,2.0
390,ME,2021-06-02,1.0,1.0,0.0,3.0
391,ME,2021-06-03,1.0,0.0,0.0,2.0
392,ME,2021-06-04,1.0,0.0,0.0,2.0
572,ME,2021-06-05,0.0,0.0,0.0,1.0
573,ME,2021-06-06,0.0,0.0,1.0,4.0
553,ME,2021-06-08,0.0,1.0,1.0,4.0
591,ME,2021-06-09,0.0,0.0,1.0,2.0
63,ME,2021-06-10,1.0,0.0,0.0,5.0
64,ME,2021-06-11,0.0,0.0,0.0,2.0
