,state,date,41005,41029,41035,41043,41047,41051,41067,total_cnts
244,OR,2020-12-02,7.0,1.0,1.0,1.0,5.0,7.0,1.0,28.0
39,OR,2020-12-03,1.0,4.0,8.0,1.0,4.0,6.0,1.0,29.0
2,OR,2020-12-04,1.0,1.0,5.0,1.0,4.0,10.0,1.0,31.0
524,OR,2020-12-05,0.0,1.0,1.0,4.0,1.0,4.0,0.0,15.0
40,OR,2020-12-06,4.0,1.0,1.0,1.0,1.0,5.0,0.0,20.0
245,OR,2020-12-07,1.0,1.0,1.0,4.0,1.0,1.0,1.0,14.0
246,OR,2020-12-08,1.0,1.0,5.0,1.0,1.0,6.0,1.0,24.0
247,OR,2020-12-09,1.0,1.0,5.0,1.0,0.0,7.0,1.0,27.0
248,OR,2020-12-10,5.0,1.0,5.0,4.0,0.0,10.0,1.0,33.0
249,OR,2020-12-11,4.0,0.0,7.0,0.0,4.0,7.0,1.0,30.0
250,OR,2020-12-12,1.0,1.0,6.0,1.0,1.0,1.0,1.0,15.0
251,OR,2020-12-13,1.0,0.0,6.0,1.0,1.0,0.0,0.0,12.0
41,OR,2020-12-14,1.0,1.0,1.0,1.0,4.0,9.0,1.0,24.0
252,OR,2020-12-15,1.0,1.0,5.0,1.0,1.0,8.0,1.0,24.0
253,OR,2020-12-16,1.0,1.0,8.0,4.0,1.0,8.0,1.0,29.0
42,OR,2020-12-17,1.0,0.0,6.0,0.0,1.0,7.0,1.0,25.0
43,OR,2020-12-18,1.0,1.0,5.0,0.0,1.0,9.0,0.0,22.0
589,OR,2020-12-19,0.0,1.0,0.0,1.0,1.0,1.0,1.0,11.0
254,OR,2020-12-20,1.0,1.0,7.0,1.0,1.0,1.0,1.0,19.0
3,OR,2020-12-21,1.0,1.0,7.0,0.0,1.0,5.0,1.0,21.0
4,OR,2020-12-22,1.0,1.0,7.0,1.0,1.0,6.0,1.0,30.0
5,OR,2020-12-23,5.0,1.0,1.0,1.0,1.0,1.0,0.0,26.0
6,OR,2020-12-24,0.0,0.0,7.0,1.0,1.0,1.0,0.0,22.0
255,OR,2020-12-25,1.0,1.0,6.0,0.0,1.0,1.0,1.0,18.0
256,OR,2020-12-26,4.0,1.0,6.0,1.0,0.0,1.0,0.0,16.0
257,OR,2020-12-27,1.0,0.0,1.0,1.0,1.0,4.0,5.0,16.0
258,OR,2020-12-28,1.0,1.0,1.0,1.0,4.0,4.0,0.0,23.0
259,OR,2020-12-29,4.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0
260,OR,2020-12-30,1.0,1.0,0.0,0.0,1.0,1.0,1.0,14.0
44,OR,2020-12-31,1.0,1.0,1.0,1.0,1.0,5.0,1.0,19.0
525,OR,2021-01-01,0.0,1.0,0.0,1.0,0.0,1.0,1.0,10.0
261,OR,2021-01-02,1.0,0.0,4.0,1.0,1.0,1.0,1.0,16.0
262,OR,2021-01-03,1.0,1.0,4.0,0.0,1.0,4.0,1.0,18.0
263,OR,2021-01-04,1.0,0.0,1.0,6.0,1.0,5.0,4.0,28.0
45,OR,2021-01-05,1.0,1.0,5.0,1.0,1.0,4.0,1.0,21.0
264,OR,2021-01-06,1.0,1.0,9.0,1.0,1.0,4.0,1.0,23.0
46,OR,2021-01-07,4.0,1.0,1.0,4.0,0.0,1.0,1.0,24.0
265,OR,2021-01-08,1.0,0.0,4.0,1.0,5.0,4.0,1.0,22.0
266,OR,2021-01-09,4.0,0.0,5.0,1.0,0.0,1.0,1.0,17.0
267,OR,2021-01-10,1.0,0.0,7.0,1.0,0.0,6.0,1.0,25.0
268,OR,2021-01-11,1.0,0.0,0.0,1.0,0.0,4.0,1.0,15.0
269,OR,2021-01-12,1.0,1.0,1.0,1.0,1.0,10.0,1.0,25.0
47,OR,2021-01-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
270,OR,2021-01-14,1.0,1.0,4.0,1.0,1.0,9.0,0.0,20.0
271,OR,2021-01-15,1.0,1.0,1.0,4.0,1.0,5.0,1.0,20.0
526,OR,2021-01-16,0.0,0.0,1.0,0.0,1.0,4.0,1.0,11.0
48,OR,2021-01-17,0.0,1.0,1.0,0.0,1.0,4.0,1.0,12.0
272,OR,2021-01-18,1.0,1.0,1.0,1.0,0.0,1.0,1.0,9.0
273,OR,2021-01-19,1.0,1.0,1.0,0.0,0.0,5.0,1.0,17.0
49,OR,2021-01-20,0.0,1.0,1.0,1.0,0.0,6.0,1.0,13.0
274,OR,2021-01-21,1.0,1.0,1.0,0.0,5.0,5.0,0.0,16.0
275,OR,2021-01-22,1.0,0.0,1.0,0.0,1.0,4.0,0.0,11.0
567,OR,2021-01-23,0.0,0.0,1.0,0.0,1.0,1.0,0.0,9.0
590,OR,2021-01-24,0.0,0.0,1.0,1.0,1.0,4.0,0.0,10.0
591,OR,2021-01-25,0.0,0.0,1.0,0.0,1.0,1.0,4.0,11.0
