,loc,datetime,450039,450135,450137,450672,450779,670085,670103,total_cnts
84,TX_FORT WORTH,2022-02-18,142.0,554.0,211.0,183.0,141.0,87.0,33.0,1351.0
85,TX_FORT WORTH,2022-02-25,93.0,287.0,160.0,121.0,79.0,47.0,7.0,794.0
86,TX_FORT WORTH,2022-03-04,59.0,155.0,103.0,74.0,25.0,38.0,0.0,454.0
87,TX_FORT WORTH,2022-03-11,49.0,160.0,69.0,48.0,0.0,14.0,0.0,340.0
88,TX_FORT WORTH,2022-03-18,45.0,143.0,49.0,26.0,0.0,11.0,0.0,274.0
89,TX_FORT WORTH,2022-03-25,34.0,42.0,10.0,23.0,21.0,22.0,0.0,152.0
90,TX_FORT WORTH,2022-04-01,27.0,49.0,5.0,16.0,11.0,16.0,0.0,124.0
91,TX_FORT WORTH,2022-04-08,21.0,38.0,0.0,11.0,11.0,5.0,0.0,86.0
92,TX_FORT WORTH,2022-04-15,94.0,53.0,0.0,13.0,8.0,0.0,11.0,179.0
93,TX_FORT WORTH,2022-04-22,106.0,26.0,19.0,21.0,15.0,10.0,0.0,197.0
94,TX_FORT WORTH,2022-04-29,97.0,47.0,13.0,21.0,20.0,14.0,0.0,212.0
95,TX_FORT WORTH,2022-05-06,41.0,32.0,12.0,16.0,11.0,11.0,0.0,123.0
96,TX_FORT WORTH,2022-05-13,24.0,19.0,11.0,12.0,22.0,6.0,0.0,94.0
97,TX_FORT WORTH,2022-05-20,30.0,64.0,19.0,10.0,20.0,18.0,0.0,161.0
98,TX_FORT WORTH,2022-05-27,33.0,75.0,27.0,17.0,27.0,37.0,10.0,226.0
99,TX_FORT WORTH,2022-06-03,18.0,110.0,14.0,38.0,22.0,27.0,12.0,241.0
100,TX_FORT WORTH,2022-06-10,17.0,115.0,29.0,44.0,25.0,44.0,6.0,280.0
101,TX_FORT WORTH,2022-06-17,37.0,157.0,61.0,34.0,44.0,38.0,6.0,377.0
102,TX_FORT WORTH,2022-06-24,49.0,240.0,48.0,27.0,58.0,59.0,13.0,494.0
103,TX_FORT WORTH,2022-07-01,63.0,271.0,55.0,34.0,72.0,50.0,20.0,565.0
104,TX_FORT WORTH,2022-07-08,57.0,312.0,40.0,53.0,109.0,42.0,16.0,629.0
105,TX_FORT WORTH,2022-07-15,55.0,292.0,87.0,42.0,111.0,69.0,21.0,677.0
106,TX_FORT WORTH,2022-07-22,178.0,390.0,160.0,39.0,132.0,68.0,13.0,980.0
107,TX_FORT WORTH,2022-07-29,193.0,450.0,155.0,33.0,97.0,61.0,25.0,1014.0
108,TX_FORT WORTH,2022-08-05,205.0,408.0,165.0,39.0,112.0,67.0,18.0,1014.0
109,TX_FORT WORTH,2022-08-12,226.0,396.0,120.0,80.0,119.0,103.0,19.0,1063.0
110,TX_FORT WORTH,2022-08-19,174.0,327.0,134.0,78.0,51.0,88.0,21.0,873.0
111,TX_FORT WORTH,2022-08-26,135.0,295.0,138.0,71.0,82.0,58.0,26.0,805.0
112,TX_FORT WORTH,2022-09-02,108.0,279.0,125.0,82.0,104.0,67.0,22.0,787.0
113,TX_FORT WORTH,2022-09-09,112.0,280.0,138.0,76.0,78.0,78.0,16.0,784.0
114,TX_FORT WORTH,2022-09-16,93.0,208.0,95.0,57.0,51.0,53.0,15.0,572.0
115,TX_FORT WORTH,2022-09-23,54.0,197.0,46.0,37.0,29.0,63.0,12.0,438.0
116,TX_FORT WORTH,2022-09-30,50.0,216.0,42.0,25.0,34.0,44.0,7.0,418.0
117,TX_FORT WORTH,2022-10-07,36.0,203.0,48.0,20.0,28.0,33.0,6.0,374.0
118,TX_FORT WORTH,2022-10-14,54.0,166.0,51.0,11.0,20.0,43.0,8.0,353.0
119,TX_FORT WORTH,2022-10-21,65.0,167.0,66.0,7.0,27.0,31.0,6.0,369.0
120,TX_FORT WORTH,2022-10-28,52.0,142.0,63.0,22.0,29.0,17.0,0.0,325.0
121,TX_FORT WORTH,2022-11-04,53.0,114.0,38.0,14.0,28.0,22.0,8.0,277.0
122,TX_FORT WORTH,2022-11-11,41.0,105.0,42.0,19.0,18.0,27.0,12.0,264.0
123,TX_FORT WORTH,2022-11-18,51.0,128.0,44.0,42.0,26.0,33.0,15.0,339.0
124,TX_FORT WORTH,2022-11-25,106.0,203.0,65.0,29.0,30.0,56.0,17.0,506.0
125,TX_FORT WORTH,2022-12-02,194.0,238.0,65.0,31.0,56.0,48.0,22.0,654.0
126,TX_FORT WORTH,2022-12-09,186.0,236.0,77.0,61.0,47.0,35.0,19.0,698.0
127,TX_FORT WORTH,2022-12-16,116.0,0.0,84.0,75.0,40.0,30.0,38.0,632.0
128,TX_FORT WORTH,2022-12-23,143.0,0.0,119.0,52.0,72.0,48.0,41.0,806.0
129,TX_FORT WORTH,2022-12-30,195.0,0.0,187.0,51.0,100.0,71.0,86.0,1044.0
130,TX_FORT WORTH,2023-01-06,223.0,0.0,181.0,54.0,158.0,76.0,45.0,1086.0
131,TX_FORT WORTH,2023-01-13,181.0,0.0,154.0,62.0,117.0,57.0,32.0,981.0
132,TX_FORT WORTH,2023-01-20,185.0,0.0,130.0,47.0,82.0,59.0,25.0,856.0
133,TX_FORT WORTH,2023-01-27,148.0,0.0,62.0,57.0,81.0,41.0,21.0,667.0
134,TX_FORT WORTH,2023-02-03,125.0,0.0,48.0,81.0,67.0,52.0,28.0,609.0
135,TX_FORT WORTH,2023-02-10,66.0,0.0,42.0,85.0,30.0,28.0,6.0,446.0
136,TX_FORT WORTH,2023-02-17,101.0,0.0,52.0,33.0,32.0,27.0,19.0,411.0
137,TX_FORT WORTH,2023-02-24,124.0,0.0,33.0,43.0,60.0,34.0,13.0,417.0
138,TX_FORT WORTH,2023-03-03,87.0,0.0,15.0,20.0,38.0,11.0,4.0,219.0
