,state,date,12001,12005,12009,12011,12015,12017,12019,12021,12023,12031,12033,12035,12053,12055,12057,12061,12069,12071,12073,12081,12083,12085,12086,12091,12095,12097,12099,12101,12103,12105,12109,12111,12115,12117,12119,12127,total_cnts
572,FL,2020-08-28,0.0,0.0,7.0,25.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,18.0,1.0,1.0,1.0,4.0,1.0,7.0,1.0,51,1.0,1.0,1.0,33.0,6.0,1.0,10.0,0.0,4.0,1.0,0.0,1.0,1.0,195.0
24,FL,2020-08-29,1.0,0.0,8.0,16.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,12.0,0.0,1.0,1.0,4.0,1.0,4.0,1.0,38,1.0,5.0,1.0,8.0,4.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0,145.0
439,FL,2020-08-30,0.0,1.0,7.0,17.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,11.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,34,0.0,1.0,1.0,10.0,6.0,1.0,7.0,0.0,1.0,1.0,1.0,0.0,5.0,125.0
399,FL,2020-08-31,0.0,0.0,10.0,18.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,5.0,1.0,4.0,1.0,1.0,0.0,47,0.0,7.0,1.0,11.0,1.0,7.0,6.0,1.0,10.0,1.0,4.0,1.0,5.0,175.0
400,FL,2020-09-01,0.0,1.0,1.0,20.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,4.0,4.0,1.0,1.0,6.0,0.0,50,0.0,1.0,1.0,9.0,1.0,5.0,10.0,0.0,10.0,1.0,1.0,1.0,4.0,164.0
25,FL,2020-09-02,1.0,1.0,1.0,16.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,13.0,1.0,1.0,4.0,1.0,1.0,7.0,0.0,47,1.0,11.0,1.0,24.0,1.0,5.0,6.0,1.0,9.0,1.0,1.0,1.0,1.0,172.0
26,FL,2020-09-03,1.0,1.0,6.0,15.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,1.0,18.0,0.0,4.0,4.0,1.0,1.0,6.0,1.0,46,1.0,5.0,1.0,7.0,4.0,4.0,5.0,0.0,7.0,0.0,0.0,0.0,5.0,161.0
401,FL,2020-09-04,0.0,0.0,8.0,21.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,7.0,1.0,0.0,1.0,0.0,41,1.0,1.0,0.0,21.0,1.0,8.0,1.0,0.0,8.0,1.0,1.0,1.0,1.0,164.0
402,FL,2020-09-05,0.0,1.0,4.0,11.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,13.0,1.0,0.0,5.0,1.0,0.0,7.0,1.0,33,0.0,4.0,1.0,0.0,1.0,10.0,6.0,1.0,1.0,0.0,1.0,0.0,4.0,117.0
27,FL,2020-09-06,1.0,0.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,29,1.0,6.0,4.0,1.0,1.0,5.0,9.0,1.0,1.0,1.0,0.0,0.0,5.0,105.0
403,FL,2020-09-07,0.0,0.0,6.0,16.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,20,0.0,7.0,0.0,8.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,97.0
28,FL,2020-09-08,1.0,0.0,4.0,13.0,0.0,1.0,4.0,1.0,0.0,7.0,1.0,4.0,1.0,1.0,13.0,0.0,5.0,4.0,1.0,1.0,7.0,0.0,30,1.0,10.0,4.0,7.0,4.0,1.0,8.0,1.0,4.0,1.0,1.0,1.0,1.0,148.0
29,FL,2020-09-09,1.0,1.0,6.0,14.0,0.0,1.0,1.0,0.0,1.0,8.0,0.0,1.0,1.0,1.0,13.0,0.0,1.0,1.0,1.0,1.0,7.0,0.0,35,1.0,6.0,1.0,16.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,141.0
573,FL,2020-09-10,0.0,0.0,6.0,9.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,11.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,44,0.0,4.0,1.0,1.0,4.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,5.0,126.0
404,FL,2020-09-11,0.0,1.0,4.0,21.0,4.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,4.0,1.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,40,1.0,7.0,1.0,16.0,5.0,8.0,6.0,0.0,1.0,1.0,1.0,1.0,6.0,163.0
30,FL,2020-09-12,4.0,1.0,5.0,10.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,12.0,4.0,4.0,1.0,1.0,0.0,7.0,0.0,26,0.0,1.0,1.0,6.0,7.0,4.0,9.0,1.0,6.0,0.0,1.0,5.0,1.0,139.0
31,FL,2020-09-13,1.0,1.0,4.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,16,0.0,1.0,1.0,1.0,6.0,1.0,5.0,1.0,6.0,1.0,0.0,1.0,1.0,86.0
32,FL,2020-09-14,1.0,1.0,4.0,16.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,9.0,4.0,1.0,0.0,6.0,1.0,4.0,1.0,22,0.0,7.0,0.0,12.0,5.0,6.0,5.0,0.0,4.0,0.0,1.0,1.0,5.0,132.0
440,FL,2020-09-15,0.0,1.0,4.0,15.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,7.0,4.0,1.0,1.0,5.0,1.0,1.0,0.0,31,1.0,5.0,1.0,4.0,7.0,5.0,13.0,1.0,1.0,5.0,1.0,1.0,8.0,136.0
441,FL,2020-09-16,0.0,1.0,6.0,21.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,14.0,1.0,1.0,5.0,1.0,1.0,6.0,1.0,33,1.0,1.0,4.0,12.0,8.0,7.0,6.0,1.0,4.0,0.0,1.0,1.0,5.0,159.0
33,FL,2020-09-17,1.0,1.0,4.0,15.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,13.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,30,1.0,1.0,1.0,5.0,4.0,1.0,12.0,1.0,4.0,0.0,1.0,0.0,4.0,128.0
442,FL,2020-09-18,0.0,1.0,5.0,11.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,8.0,1.0,4.0,1.0,4.0,1.0,1.0,0.0,21,0.0,5.0,1.0,15.0,4.0,1.0,8.0,0.0,4.0,1.0,0.0,1.0,1.0,112.0
