,state,date,16001,16011,16027,total_cnts
581,ID,2021-06-26,0.0,0.0,0.0,1.0
610,ID,2021-06-27,0.0,0.0,1.0,1.0
193,ID,2021-06-28,1.0,0.0,1.0,2.0
611,ID,2021-06-30,0.0,0.0,1.0,1.0
194,ID,2021-07-01,1.0,0.0,1.0,2.0
195,ID,2021-07-02,1.0,0.0,0.0,4.0
666,ID,2021-07-03,0.0,0.0,0.0,1.0
435,ID,2021-07-04,0.0,0.0,0.0,4.0
612,ID,2021-07-05,0.0,0.0,1.0,2.0
196,ID,2021-07-06,1.0,0.0,0.0,4.0
558,ID,2021-07-07,0.0,0.0,1.0,4.0
436,ID,2021-07-08,0.0,0.0,1.0,4.0
197,ID,2021-07-09,1.0,1.0,1.0,3.0
198,ID,2021-07-10,1.0,0.0,0.0,2.0
613,ID,2021-07-12,0.0,0.0,1.0,3.0
199,ID,2021-07-13,1.0,0.0,0.0,3.0
582,ID,2021-07-14,0.0,0.0,0.0,2.0
200,ID,2021-07-15,1.0,0.0,1.0,4.0
627,ID,2021-07-16,0.0,0.0,0.0,3.0
631,ID,2021-07-17,0.0,0.0,0.0,2.0
643,ID,2021-07-18,0.0,0.0,0.0,2.0
522,ID,2021-07-19,0.0,1.0,0.0,3.0
614,ID,2021-07-20,0.0,0.0,1.0,5.0
615,ID,2021-07-21,0.0,0.0,1.0,2.0
616,ID,2021-07-22,0.0,0.0,1.0,4.0
201,ID,2021-07-23,1.0,0.0,1.0,4.0
202,ID,2021-07-24,1.0,0.0,0.0,2.0
437,ID,2021-07-25,0.0,0.0,0.0,5.0
438,ID,2021-07-26,0.0,0.0,0.0,7.0
203,ID,2021-07-27,1.0,0.0,1.0,5.0
472,ID,2021-07-28,0.0,0.0,0.0,2.0
204,ID,2021-07-29,1.0,0.0,1.0,8.0
205,ID,2021-07-30,1.0,0.0,1.0,5.0
439,ID,2021-07-31,0.0,1.0,0.0,4.0
440,ID,2021-08-01,0.0,1.0,0.0,3.0
441,ID,2021-08-02,0.0,1.0,0.0,5.0
523,ID,2021-08-03,0.0,1.0,1.0,4.0
442,ID,2021-08-04,0.0,1.0,0.0,6.0
524,ID,2021-08-05,0.0,1.0,1.0,5.0
525,ID,2021-08-06,0.0,1.0,0.0,3.0
468,ID,2021-08-07,0.0,1.0,1.0,5.0
469,ID,2021-08-08,0.0,1.0,0.0,4.0
206,ID,2021-08-09,1.0,1.0,0.0,5.0
207,ID,2021-08-10,1.0,1.0,1.0,6.0
208,ID,2021-08-11,5.0,1.0,0.0,7.0
209,ID,2021-08-12,1.0,0.0,0.0,10.0
210,ID,2021-08-13,1.0,0.0,1.0,8.0
211,ID,2021-08-14,1.0,0.0,1.0,5.0
212,ID,2021-08-15,1.0,1.0,0.0,6.0
213,ID,2021-08-16,1.0,1.0,0.0,5.0
214,ID,2021-08-17,1.0,1.0,1.0,8.0
215,ID,2021-08-18,4.0,1.0,1.0,12.0
