,state,date,48027,48029,48039,48061,48085,48113,48121,48135,48139,48141,48157,48167,48181,48183,48201,48203,48213,48215,48221,48231,48245,48251,48257,48291,48303,48339,48355,48367,48397,48423,48439,48453,48467,48469,48479,48491,48497,48499,total_cnts
20,TX,2020-08-27,1.0,11.0,4.0,6.0,6.0,24.0,6.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,22.0,0.0,0.0,11.0,11.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,1.0,25.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,205.0
21,TX,2020-08-28,0.0,18.0,1.0,1.0,7.0,12.0,1.0,1.0,1.0,9.0,4.0,8.0,0.0,1.0,30.0,0.0,0.0,10.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0,1.0,7.0,20.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,178.0
22,TX,2020-08-29,1.0,11.0,1.0,5.0,1.0,25.0,4.0,1.0,1.0,9.0,4.0,6.0,1.0,1.0,31.0,0.0,1.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,13.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,175.0
23,TX,2020-08-30,0.0,11.0,0.0,1.0,1.0,16.0,5.0,1.0,1.0,5.0,4.0,0.0,1.0,4.0,17.0,0.0,1.0,11.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,129.0
322,TX,2020-08-31,1.0,12.0,1.0,1.0,8.0,22.0,6.0,0.0,1.0,10.0,1.0,1.0,4.0,6.0,35.0,1.0,1.0,9.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,4.0,1.0,0.0,8.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0
323,TX,2020-09-01,1.0,12.0,6.0,5.0,5.0,17.0,6.0,9.0,0.0,5.0,1.0,5.0,0.0,9.0,41.0,4.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,23.0,1.0,1.0,1.0,20.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,250.0
527,TX,2020-09-02,1.0,15.0,1.0,1.0,10.0,21.0,5.0,1.0,0.0,7.0,0.0,5.0,1.0,7.0,16.0,0.0,0.0,11.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,13.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,163.0
324,TX,2020-09-03,1.0,14.0,4.0,1.0,9.0,15.0,6.0,1.0,0.0,4.0,1.0,1.0,1.0,4.0,25.0,1.0,1.0,16.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,174.0
24,TX,2020-09-04,1.0,12.0,1.0,1.0,9.0,16.0,4.0,1.0,1.0,4.0,4.0,5.0,1.0,5.0,13.0,1.0,1.0,18.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,34.0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,181.0
325,TX,2020-09-05,1.0,6.0,4.0,4.0,4.0,8.0,1.0,1.0,1.0,4.0,4.0,5.0,1.0,6.0,31.0,0.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,159.0
